id,order_id,product_id,pack_id,product_name,product_image,quantity,size,color,price_at_purchase
578a5d6d-f025-4798-ad68-2e209056636f,77e55150-d667-4858-bb9c-c166c5c31f00,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,46,Blanc,19900.00
6456b6e0-b446-48be-9e09-799918a5dda9,4076dafa-d672-4ea6-88d9-302d0bd54f73,,383c17fe-78a0-4fba-973a-314de01f7c79,CAFTAN BRIDAL,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/packs/c9v8yersi2d.jpeg,1,,,23200.00
6726eee7-5d32-4674-9d8b-fc7680fffe11,6c78a1cc-ff81-4c5e-b9b9-ee5e5e49107b,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,,RYM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/a3y5rcgtch.jpeg,1,36,#FFFFFF,13900.00
672a191e-8efd-465f-820d-22549554fd7c,0c777394-d5d6-4288-85f6-0084c4f9ceb3,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,38,Blanc,16900.00
6c06508d-f12d-4c4f-8d0d-bfdd6c611f97,8ec498a5-6515-4c9f-9ff9-7d66f1d2dd0c,bcfc02fa-8997-4d14-9b22-f0c6c29d8327,,DÉNA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/j1qk7cg6di.jpeg,1,,,2500.00
6d0f9c59-051b-407d-871b-1ae1b6e4373b,216311f0-c44c-405f-9b67-fcda7398d700,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,42,Beige,16900.00
764adef8-1290-4a23-a941-42888b1fb968,99b3e396-22e3-415d-9931-e7ef6f748be3,811fe3e6-20cf-471f-a45d-4b3d142528f7,,LORA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/742f35aqtfw.jpeg,1,,,2500.00
77e39059-29a1-47bb-974f-4cda9bfcf281,8860b2d3-2dae-441a-9a48-5a91c3a78d47,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,42,Blanc,19900.00
77ffe6e1-5ff2-4c82-ba68-ca35888bf78a,ee9c2619-386b-49cf-a505-895c8f06ba62,d69f2878-5a90-4fac-b137-bea0c346c64f,,ZEHRA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/s0ywdstcjx.jpeg,1,42,,17900.00
79f3b343-5ece-4fe9-ace3-3901232347dd,4567d734-6d49-4e04-b116-698b6d75e566,bcfc02fa-8997-4d14-9b22-f0c6c29d8327,,DÉNA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/j1qk7cg6di.jpeg,1,,,2500.00
