id,product_id,type,value,label,is_available
877117f9-7508-46f0-b99c-46b1065bbdc7,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,46,46,true
a65b7cda-f173-41d0-bb13-062b3c024fdb,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,48,48,true
05c88ed9-7cd3-4ec7-b8f5-dcf339031677,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,50,50,true
19d5e673-c9e7-4802-9ac0-7eae4b4545b4,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,size,52,52,true
4f976378-8477-46c2-9fd9-ba40fcf66c73,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,color,#FFFFFF,Blanc,true
9ea255e5-fa0c-41d9-90b4-6cdd3745b5b6,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,color,#D4B896,Beige,true
01462bb0-f013-4e45-9806-5bc9a7aaa4ef,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,42,42,true
9b841746-68f1-46ef-8dce-8422dd5a9e11,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,color,#8B1A1A,Bordeaux,true
932426a6-6762-4fef-bd8a-ab0cc4de86b9,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,color,#1A1714,Noir,true
4648d96b-055a-4047-8e9f-089ef5b1daa6,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,36,36,true
9ba28163-3967-4269-8ad7-ab147adfd8ea,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,38,38,true
90154ae9-c385-42bf-abde-651afa02f648,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,44,44,true
84f231e0-c682-42d7-ab6c-7d0d2e095820,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,46,46,true
7567ecee-2b6f-4241-ae4c-75d577df166a,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,48,48,true
cd37807b-25e9-484f-b0c4-9c896b69fd60,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,size,50,50,true
cbd74448-49d2-44a6-ab2a-89f3097b8bae,9aae3cfb-47dd-476e-a69f-ec9fb4ffbc84,color,#FFFFFF,Blanc,true
a21d7fed-44d1-4ed5-bbd3-3eb1935c16d2,130f367f-3480-475b-ac7a-4c1dea1ce95c,size,40,40,true
